year,fips,population,per_income,employment_total
1969,0,201298,3931,91053.2
1970,0,203798.722,4198,91277.6
1971,0,206817.509,4471,91581.4
1972,0,209274.882,4857,94312.2
1973,0,211349.205,5363,98427.5
1974,0,213333.635,5836,100111.8
1975,0,215456.585,6324,98900.6
1976,0,217553.859,6875,101591.2
1977,0,219760.875,7516,105042.2
1978,0,222098.244,8356,109686.6
1979,0,224568.579,9232,113147.1
1980,0,227224.719,10180,113983.2
1969,1000,3440,2831,1411.234
1970,1000,3449.846,3081,1412.928
1971,1000,3497.452,3345,1423.459
1972,1000,3540.08,3672,1470.523
1973,1000,3580.769,4088,1525.967
1974,1000,3627.805,4477,1552.266
1975,1000,3680.533,4918,1543.312
1976,1000,3737.204,5438,1593.952
1977,1000,3782.736,5920,1651.033
1978,1000,3834.12,6609,1712.582
1979,1000,3869.444,7275,1735.879
1980,1000,3900.368,7957,1731.866
1969,1001,25.166,2780,6.63
1970,1001,24.606,3158,6.853
1971,1001,25.508,3454,7.045
1972,1001,27.166,3687,7.864
1973,1001,28.463,4039,8.617
1974,1001,29.266,4246,8.771
1975,1001,29.718,4431,8.675
1976,1001,29.896,5035,8.717
1977,1001,30.462,5320,8.973
1978,1001,30.882,6101,9.487
1979,1001,32.055,7113,11.769
1980,1001,32.215,7761,11.255
1969,1003,56.951,2760,20.008
1970,1003,59.474,2905,19.749
1971,1003,60.142,3270,20.505
1972,1003,62.435,3584,21.727
1973,1003,64.196,4176,23.015
1974,1003,66.072,4628,23.738
1975,1003,67.861,5088,24.458
1976,1003,70.244,5781,25.75
1977,1003,72.399,6009,26.965
1978,1003,74.55,6660,27.291
1979,1003,76.594,7080,27.875
1980,1003,78.931,7801,27.777
1969,1005,23.818,2147,9.428
1970,1005,22.655,2545,9.448
1971,1005,23.092,2686,9.559
1972,1005,22.854,3068,9.691
1973,1005,23.457,3401,9.961
1974,1005,23.432,3847,9.867
1975,1005,24.869,3962,9.622
1976,1005,25.609,4428,9.835
1977,1005,24.69,4998,9.905
1978,1005,24.524,5716,10.391
1979,1005,24.429,6217,9.865
1980,1005,24.763,6462,9.724
