AQCR,year,att0_nonatt1
1,1976,0
2,1976,0
3,1976,1
4,1976,1
5,1976,1
6,1976,0
7,1976,1
8,1976,1
9,1976,1
10,1976,0
11,1976,1
12,1976,1
13,1976,1
14,1976,1
15,1976,1
16,1976,1
17,1976,1
18,1976,1
19,1976,1
20,1976,1
21,1976,0
22,1976,1
23,1976,0
24,1976,1
25,1976,1
26,1976,1
27,1976,1
28,1976,1
29,1976,1
30,1976,1
31,1976,1
32,1976,1
33,1976,1
34,1976,0
35,1976,1
36,1976,1
37,1976,1
38,1976,1
39,1976,0
40,1976,0
41,1976,0
42,1976,1
43,1976,1
44,1976,0
45,1976,1
46,1976,0
47,1976,1
48,1976,0
49,1976,1
50,1976,0
51,1976,0
52,1976,1
53,1976,0
54,1976,0
55,1976,1
56,1976,0
57,1976,0
58,1976,1
59,1976,0
60,1976,1
61,1976,1
62,1976,1
63,1976,1
64,1976,1
65,1976,1
66,1976,0
67,1976,1
68,1976,0
69,1976,1
70,1976,1
71,1976,0
72,1976,0
73,1976,1
74,1976,0
75,1976,1
76,1976,0
77,1976,1
78,1976,1
79,1976,1
80,1976,1
81,1976,0
82,1976,0
83,1976,0
84,1976,1
85,1976,1
86,1976,1
87,1976,1
88,1976,1
89,1976,1
90,1976,0
91,1976,1
92,1976,1
93,1976,0
94,1976,1
95,1976,1
96,1976,1
97,1976,1
98,1976,0
99,1976,0
100,1976,0
101,1976,1
102,1976,1
103,1976,1
104,1976,0
105,1976,0
106,1976,0
107,1976,1
108,1976,0
109,1976,1
110,1976,0
111,1976,0
112,1976,1
113,1976,1
114,1976,0
115,1976,1
116,1976,0
117,1976,1
118,1976,1
119,1976,1
120,1976,1
121,1976,1
122,1976,0
123,1976,1
124,1976,1
125,1976,0
126,1976,1
127,1976,0
128,1976,1
129,1976,0
130,1976,0
131,1976,1
132,1976,1
133,1976,1
134,1976,0
135,1976,0
136,1976,0
137,1976,1
138,1976,0
139,1976,0
140,1976,1
141,1976,1
142,1976,1
143,1976,1
144,1976,1
145,1976,1
146,1976,1
147,1976,1
148,1976,1
149,1976,0
150,1976,0
151,1976,1
