year,AQCR,fips,State,tsp_neds,tsp_imputed,tsp_arithmetic_mean
1969,1,1023,Alabama,,,
1969,1,1025,Alabama,,,
1969,1,1035,Alabama,,,
1969,1,1047,Alabama,,,
1969,1,1091,Alabama,,,
1969,1,1099,Alabama,,,
1969,1,1105,Alabama,,,
1969,1,1129,Alabama,,,
1969,1,1131,Alabama,,,
1969,2,1001,Alabama,,,
1969,2,1011,Alabama,,,
1969,2,1013,Alabama,,,
1969,2,1041,Alabama,,,
1969,2,1051,Alabama,,,
1969,2,1081,Alabama,,,
1969,2,1085,Alabama,,,
1969,2,1087,Alabama,,,
1969,2,1101,Alabama,,,83.7307663
1969,2,1109,Alabama,,,
1969,2,1113,Alabama,,,
1969,2,13053,Georgia,,,
1969,2,13093,Georgia,,,
1969,2,13145,Georgia,,,
1969,2,13197,Georgia,,,
1969,2,13215,Georgia,,,62.48077011
1969,2,13239,Georgia,,,
1969,2,13249,Georgia,,,
1969,2,13259,Georgia,,,
1969,2,13261,Georgia,,,
1969,2,13263,Georgia,,,
1969,2,13269,Georgia,,,
1969,2,13307,Georgia,,,
1969,3,1015,Alabama,,,
1969,3,1017,Alabama,,,
1969,3,1019,Alabama,,,
1969,3,1027,Alabama,,,
1969,3,1029,Alabama,,,
1969,3,1037,Alabama,,,
1969,3,1055,Alabama,,,64.46154022
1969,3,1111,Alabama,,,
1969,3,1121,Alabama,,,
1969,3,1123,Alabama,,,
1969,4,1007,Alabama,,,
1969,4,1009,Alabama,,,
1969,4,1021,Alabama,,,
1969,4,1057,Alabama,,,
1969,4,1063,Alabama,,,
1969,4,1065,Alabama,,,
1969,4,1073,Alabama,,,118.5043869
1969,4,1075,Alabama,,,
1969,4,1107,Alabama,,,
1969,4,1115,Alabama,,,
1969,4,1117,Alabama,,,
1969,4,1119,Alabama,,,
1969,4,1125,Alabama,,,
1969,4,1127,Alabama,,,
1969,5,1003,Alabama,,,
1969,5,1053,Alabama,,,
1969,5,1097,Alabama,,,133.8636322
1969,5,12005,Florida,,,
1969,5,12013,Florida,,,
1969,5,12033,Florida,,,
1969,5,12045,Florida,,,
1969,5,12059,Florida,,,
1969,5,12063,Florida,,,
1969,5,12091,Florida,,,
1969,5,12113,Florida,,,
1969,5,12131,Florida,,,
1969,5,12133,Florida,,,
1969,5,28001,Mississippi,,,
1969,5,28005,Mississippi,,,
1969,5,28021,Mississippi,,,
1969,5,28023,Mississippi,,,
1969,5,28029,Mississippi,,,
1969,5,28031,Mississippi,,,
1969,5,28035,Mississippi,,,
1969,5,28037,Mississippi,,,
1969,5,28039,Mississippi,,,
1969,5,28041,Mississippi,,,
1969,5,28045,Mississippi,,,
1969,5,28047,Mississippi,,,
1969,5,28049,Mississippi,,,99.57142639
1969,5,28059,Mississippi,,,36.68421173
1969,5,28061,Mississippi,,,
1969,5,28063,Mississippi,,,
1969,5,28065,Mississippi,,,
1969,5,28067,Mississippi,,,
1969,5,28073,Mississippi,,,
1969,5,28075,Mississippi,,,
